product_id,description,avg_price,total_units_sold,total_revenue
M,Manual,394.31801418439716,9629,339226.24
22423,REGENCY CAKESTAND 3 TIER,14.190417721518987,26478,330590.32
DOT,DOTCOM POSTAGE,218.9781696113074,1415,309854.11
85123A,WHITE HANGING HEART T-LIGHT HOLDER,3.075421664849146,94142,257546.19999999998
23843,"PAPER CRAFT , LITTLE BIRDIE",2.08,80995,168469.6
47566,PARTY BUNTING,5.718177449168207,28200,148318.28
85099B,JUMBO BAG RED RETROSPOT,2.3656921204745966,77280,145961.83
84879,ASSORTED COLOUR BIRD ORNAMENT,1.8590344101123595,80082,129324.49
POST,POSTAGE,29.466515397082656,5363,125682.42
22086,PAPER CHAIN KIT 50'S CHRISTMAS,3.3699274661508705,35084,117760.29
23166,MEDIUM CERAMIC TOP STORAGE JAR,1.46848,78033,81700.92000000001
79321,CHILLI LIGHTS,6.290666082383875,15841,80540.88
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3.3425352112676054,31409,71300.4
85099F,JUMBO BAG STRAWBERRY,2.2943027027027028,36860,67985.77
23084,RABBIT NIGHT LIGHT,2.386401179941003,30739,66870.03
21137,BLACK RECORD COVER FRAME,4.146305031446541,18739,65189.29
21931,JUMBO STORAGE BAG SUKI,2.533375850340136,29182,61537.55
21621,VINTAGE UNION JACK BUNTING,9.307857689364958,6900,60286.04
22114,HOT WATER BOTTLE TEA AND SYMPATHY,4.774289292423294,11677,59189.14
85099C,JUMBO  BAG BAROQUE BLACK WHITE,2.408958223162348,30640,59057.61
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,3.300415224913495,18634,58652.7
22112,CHOCOLATE HOT WATER BOTTLE,5.849994269340974,11065,57981.94
15056N,EDWARDIAN PARASOL NATURAL,6.818394230769231,11286,57975.450000000004
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2.4509913988229965,27281,57318.71
82484,WOOD BLACK BOARD ANT WHITE FINISH,7.810832625318607,9831,56745.73
22470,HEART OF WICKER LARGE,3.2125426278836513,17773,53506.13
22178,VICTORIAN GLASS HANGING T-LIGHT,1.5693047256925585,40081,52382.82
21733,RED HANGING HEART T-LIGHT HOLDER,3.09675404350251,17575,50346.49
22386,JUMBO BAG PINK POLKADOT,2.5595130315500687,25235,50081.96
22111,SCOTTIE DOG HOT WATER BOTTLE,5.734759698899826,9776,49771.94
21929,JUMBO BAG PINK VINTAGE PAISLEY,2.5029736358062538,25608,49651.99
22189,CREAM HEART CARD HOLDER,4.4335582822085895,16186,49300.94
22469,HEART OF WICKER SMALL,1.9215671981776765,27908,48935.11
21843,RED RETROSPOT CAKE STAND,12.25677039529016,4635,48564.29
21731,RED TOADSTOOL LED NIGHT LIGHT,2.237496782496782,28910,48315.840000000004
22457,NATURAL SLATE HEART CHALKBOARD,3.5118406993686255,15373,47288.229999999996
15056BL,EDWARDIAN PARASOL BLACK,6.25234752589183,9504,47267.450000000004
21232,STRAWBERRY CERAMIC TRINKET BOX,1.5199447278911564,36628,47169.35
21754,HOME BUILDING BLOCK WORD,6.587843794920939,7595,46516.99
21181,PLEASE ONE PERSON METAL SIGN,2.3605215281989085,22865,46249.07
22138,BAKING SET 9 PIECE RETROSPOT,5.3669730010384225,9366,45882.01
20727,LUNCH BAG  BLACK SKULL.,2.023109908409659,26678,45655.27
21623,VINTAGE UNION JACK MEMOBOARD,10.215838041431262,6165,45402.18
22326,ROUND SNACK BOXES SET OF4 WOODLAND,3.4304714285714284,15380,44063.04
84078A,SET/4 WHITE RETRO STORAGE CUBES,45.85689024390244,1128,43844.96
82494L,WOODEN FRAME ANTIQUE WHITE,3.2012643678160924,15301,43811.16
84029E,RED WOOLLY HOTTIE WHITE HEART.,4.464668959587274,10628,42994.24
22197,SMALL POPCORN HOLDER,1.039719887955182,48561,42699.89
21915,RED  HARMONICA IN BOX,1.399408341416101,36289,42664.54
21175,GIN + TONIC DIET METAL SIGN,2.5423874151758175,20178,42613.98
23298,SPOTTY BUNTING,5.52396013864818,8320,42513.479999999996
20728,LUNCH BAG CARS BLUE,1.9748732663797226,24596,42270.3
48138,DOORMAT UNION FLAG,8.477665995975855,6302,42239.5
82482,WOODEN PICTURE FRAME WHITE FINISH,2.924807502467917,16914,41837.6
22355,CHARLOTTE BAG SUKI DESIGN,1.1773602264685066,27550,41580.97
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,3.686446173800259,14077,41099.79
20725,LUNCH BAG RED RETROSPOT,2.115301399354144,22232,41043.02
20713,JUMBO BAG OWLS,2.5839698113207543,20814,40667.05
22502,PICNIC BASKET WICKER 60 PIECES,649.5,61,39619.5
85066,CREAM SWEETHEART MINI CHEST,14.095063965884862,3091,38599.98
20726,LUNCH BAG WOODLAND,2.1123128205128205,22118,38506.74
48194,DOORMAT HEARTS,8.787381642512077,6026,38428.12
22960,JAM MAKING SET WITH JARS,5.059025862068966,9019,38380.11
21166,COOK WITH WINE METAL SIGN,2.276118466898955,19932,38138.86
23284,DOORMAT KEEP CALM AND COME IN,8.776284153005465,5487,38133.64
22720,SET OF 3 CAKE TINS PANTRY DESIGN,5.83371408045977,7483,38108.89
22629,SPACEBOY LUNCH BOX,2.1693473531544596,20807,37955.5
22699,ROSES REGENCY TEACUP AND SAUCER,3.6217146872803934,12860,37682.8
20712,JUMBO BAG WOODLAND ANIMALS,2.738984593837535,17710,37499.37
22727,ALARM CLOCK BAKELIKE RED,4.37068115942029,9234,36543.77
22328,ROUND SNACK BOXES SET OF 4 FRUITS,3.193215821152193,12875,35922.51
20685,DOORMAT RED RETROSPOT,8.841021087680355,5038,35198.96
21755,LOVE BUILDING BLOCK WORD,6.681397786837508,5643,34836.020000000004
22379,RECYCLING BAG RETROSPOT,2.8999178774478835,15765,34640.84
22197,POPCORN HOLDER,1.0208363636363635,36749,34288.67
48185,DOORMAT FAIRY CAKE,9.783706176961603,5095,34191.53
22666,RECIPE BOX PANTRY YELLOW DESIGN,3.6011011370436865,10706,33682.62
21523,DOORMAT FANCY FONT HOME SWEET HOME,9.240645161290322,5075,33466.26
22630,DOLLY GIRL LUNCH BOX,2.3025796886582652,18058,33380.83
48187,DOORMAT NEW ENGLAND,8.366121951219512,5291,33203.79
22382,LUNCH BAG SPACEBOY DESIGN,1.9012453007518797,19604,33049.37
15036,ASSORTED COLOURS SILK FAN,0.9932560483870967,44272,32967.03
22726,ALARM CLOCK BAKELIKE GREEN,4.472062256809338,7671,32609.32
22385,JUMBO BAG SPACEBOY DESIGN,2.439888800635425,17057,32433.5
82486,WOOD S/3 CABINET ANT WHITE FINISH,8.51200184501845,3994,31594.39
22139,RETROSPOT TEA SET CERAMIC 11 PC,5.660248868778281,6168,31527.12
